month,trades_entered,trades_skipped,month_pnl,narrative
2012-07,1,0,7740.000000000001,"ENTERED on 2012-07-23: | VRP regime=LEAN (raw=4.54, z=-0.48, scalar=0.33) | Regime=STABLE (PI_width=8.71, z=-1.51, mult=1.00) | Composite scalar=0.614 | Strikes: 1280/1210 (width=70), 18x, credit=$7,740, DTE=23 | SPX=1350.5, VIX=18.6 | Outcome: P&L=$7,740 (0.73%) | Codes: RV_CLASS_REDUCE_25% | BINDING: VRP | ENTER: scalar=0.614"
2012-08,0,1,0.0,"SKIPPED on 2012-08-20: VRP regime=INVERTED (raw=4.01, z=-0.62) Regime=STABLE (PI_z=-0.44) Reason: VRP_INVERTED (z=-0.62)"
2012-09,0,1,0.0,"SKIPPED on 2012-09-24: VRP regime=INVERTED (raw=3.60, z=-0.73) Regime=STABLE (PI_z=-0.77) Reason: VRP_INVERTED (z=-0.73)"
2012-10,1,0,-2387.999999999738,"ENTERED on 2012-10-22: | VRP regime=LEAN (raw=4.36, z=-0.40, scalar=0.33) | Regime=STABLE (PI_width=8.87, z=-0.67, mult=1.00) | Composite scalar=0.819 | Strikes: 1365/1295 (width=70), 24x, credit=$9,900, DTE=30 | SPX=1433.8, VIX=16.6 | Outcome: P&L=$-2,388 (-0.23%) | Codes: BINDING: VRP | ENTER: scalar=0.819"
2012-11,0,1,0.0,"SKIPPED on 2012-11-19: VRP regime=INVERTED (raw=2.39, z=-1.22) Regime=STRESSED (PI_z=1.26) Reason: VRP_INVERTED (z=-1.22)"
2012-12,0,1,0.0,"SKIPPED on 2012-12-24: VRP regime=RICH (raw=6.29, z=0.97) Regime=STABLE (PI_z=0.35) Reason: BUILD_FAIL | BINDING: EQUAL | ENTER: scalar=0.000"
2013-01,0,1,0.0,"SKIPPED on 2013-01-22: VRP regime=INVERTED (raw=2.33, z=-1.33) Regime=STABLE (PI_z=-1.16) Reason: VRP_INVERTED (z=-1.33)"
2013-02,0,1,0.0,"SKIPPED on 2013-02-19: VRP regime=INVERTED (raw=2.15, z=-1.31) Regime=STABLE (PI_z=-0.01) Reason: VRP_INVERTED (z=-1.31)"
2013-03,0,1,0.0,"SKIPPED on 2013-03-18: VRP regime=INVERTED (raw=2.92, z=-0.71) Regime=STRESSED (PI_z=1.20) Reason: VRP_INVERTED (z=-0.71)"
2013-04,0,1,0.0,"SKIPPED on 2013-04-22: VRP regime=INVERTED (raw=2.74, z=-0.71) Regime=ELEVATED (PI_z=0.90) Reason: VRP_INVERTED (z=-0.71)"
2013-05,1,0,3263.0000000001655,"ENTERED on 2013-05-20: | VRP regime=LEAN (raw=3.05, z=-0.43, scalar=0.33) | Regime=STABLE (PI_width=8.84, z=-0.85, mult=1.00) | Composite scalar=0.819 | Strikes: 1595/1530 (width=65), 26x, credit=$9,945, DTE=30 | SPX=1666.3, VIX=13.0 | Outcome: P&L=$3,263 (0.31%) | Codes: BINDING: VRP | ENTER: scalar=0.819"
2013-06,0,1,0.0,"SKIPPED on 2013-06-24: VRP regime=RICH (raw=4.55, z=0.72) Regime=STABLE (PI_z=0.29) Reason: BUILD_FAIL | RV_CLASS_REDUCE_25% | BINDING: EQUAL | ENTER: scalar=0.000"
2013-07,0,1,0.0,"SKIPPED on 2013-07-22: VRP regime=INVERTED (raw=2.62, z=-0.57) Regime=STABLE (PI_z=-1.24) Reason: VRP_INVERTED (z=-0.57)"
2013-08,0,1,0.0,"SKIPPED on 2013-08-19: VRP regime=RICH (raw=4.33, z=0.73) Regime=CRISIS (PI_z=1.56) Reason: REGIME_CRISIS (z=1.56)"
2013-09,0,1,0.0,"SKIPPED on 2013-09-23: VRP regime=RICH (raw=4.60, z=0.99) Regime=STABLE (PI_z=0.16) Reason: BUILD_FAIL | BINDING: EQUAL | ENTER: scalar=0.000"
2013-10,1,0,8400.0,"ENTERED on 2013-10-21: | VRP regime=LEAN (raw=3.01, z=-0.19, scalar=0.33) | Regime=STABLE (PI_width=8.87, z=-0.65, mult=1.00) | Composite scalar=0.819 | Strikes: 1680/1610 (width=70), 24x, credit=$8,400, DTE=30 | SPX=1744.7, VIX=13.2 | Outcome: P&L=$8,400 (0.79%) | Codes: BINDING: VRP | ENTER: scalar=0.819"
2013-11,1,0,6187.5,"ENTERED on 2013-11-18: | VRP regime=NORMAL (raw=3.40, z=0.20, scalar=0.67) | Regime=STABLE (PI_width=8.72, z=-1.37, mult=1.00) | Composite scalar=0.574 | Strikes: 1715/1635 (width=80), 15x, credit=$6,188, DTE=30 | SPX=1791.5, VIX=13.1 | Outcome: P&L=$6,188 (0.58%) | Codes: BINDING: VRP | ENTER: scalar=0.574"
2013-12,1,0,4875.0,"ENTERED on 2013-12-23: | VRP regime=NORMAL (raw=3.38, z=0.24, scalar=0.67) | Regime=STABLE (PI_width=8.97, z=-0.14, mult=1.00) | Composite scalar=0.574 | Strikes: 1765/1675 (width=90), 13x, credit=$4,875, DTE=23 | SPX=1828.0, VIX=13.0 | Outcome: P&L=$4,875 (0.45%) | Codes: BINDING: VRP | ENTER: scalar=0.574"
2014-01,1,0,5362.5,"ENTERED on 2014-01-21: | VRP regime=NORMAL (raw=3.23, z=0.19, scalar=0.67) | Regime=STABLE (PI_width=8.65, z=-1.65, mult=1.00) | Composite scalar=0.574 | Strikes: 1765/1675 (width=90), 13x, credit=$5,362, DTE=29 | SPX=1843.8, VIX=12.9 | Outcome: P&L=$5,362 (0.49%) | Codes: BINDING: VRP | ENTER: scalar=0.574"
2014-02,0,1,0.0,"SKIPPED on 2014-02-24: VRP regime=INVERTED (raw=2.05, z=-0.85) Regime=CRISIS (PI_z=1.88) Reason: VRP_INVERTED (z=-0.85) | REGIME_CRISIS (z=1.88)"
2014-03,1,0,4977.500000000001,"ENTERED on 2014-03-24: | VRP regime=NORMAL (raw=3.20, z=0.03, scalar=0.67) | Regime=STABLE (PI_width=8.75, z=-1.10, mult=1.00) | Composite scalar=0.431 | Strikes: 1780/1695 (width=85), 11x, credit=$4,978, DTE=23 | SPX=1857.4, VIX=15.1 | Outcome: P&L=$4,978 (0.46%) | Codes: RV_CLASS_REDUCE_25% | BINDING: VRP | ENTER: scalar=0.431"
2014-04,1,0,7140.000000000001,"ENTERED on 2014-04-21: | VRP regime=NORMAL (raw=3.35, z=0.14, scalar=0.67) | Regime=STABLE (PI_width=8.51, z=-2.20, mult=1.00) | Composite scalar=0.574 | Strikes: 1800/1730 (width=70), 17x, credit=$7,140, DTE=26 | SPX=1871.9, VIX=13.2 | Outcome: P&L=$7,140 (0.65%) | Codes: BINDING: VRP | ENTER: scalar=0.574"
2014-05,0,1,0.0,"SKIPPED on 2014-05-19: VRP regime=INVERTED (raw=2.49, z=-0.63) Regime=ELEVATED (PI_z=0.50) Reason: VRP_INVERTED (z=-0.63)"
2014-06,0,1,0.0,"SKIPPED on 2014-06-23: VRP regime=INVERTED (raw=0.73, z=-1.97) Regime=STABLE (PI_z=-0.48) Reason: VRP_INVERTED (z=-1.97)"
2014-07,1,0,8872.5,"ENTERED on 2014-07-21: | VRP regime=LEAN (raw=2.90, z=-0.03, scalar=0.33) | Regime=STABLE (PI_width=9.09, z=0.46, mult=1.00) | Composite scalar=0.819 | Strikes: 1900/1815 (width=85), 21x, credit=$8,872, DTE=30 | SPX=1973.6, VIX=12.8 | Outcome: P&L=$8,872 (0.80%) | Codes: BINDING: VRP | ENTER: scalar=0.819"
2014-08,1,0,9700.000000000002,"ENTERED on 2014-08-18: | VRP regime=LEAN (raw=2.55, z=-0.32, scalar=0.33) | Regime=STABLE (PI_width=8.97, z=-0.11, mult=1.00) | Composite scalar=0.819 | Strikes: 1890/1800 (width=90), 20x, credit=$9,700, DTE=30 | SPX=1971.7, VIX=12.3 | Outcome: P&L=$9,700 (0.87%) | Codes: BINDING: VRP | ENTER: scalar=0.819"
2014-09,0,1,0.0,"SKIPPED on 2014-09-22: VRP regime=RICH (raw=3.53, z=0.60) Regime=STABLE (PI_z=-1.03) Reason: BUILD_FAIL | BINDING: EQUAL | ENTER: scalar=0.000"
2014-10,1,0,11095.0,"ENTERED on 2014-10-20: | VRP regime=NORMAL (raw=2.84, z=0.02, scalar=0.67) | Regime=ELEVATED (PI_width=9.21, z=0.99, mult=0.75) | Composite scalar=0.705 | Strikes: 1785/1675 (width=110), 14x, credit=$11,095, DTE=30 | SPX=1904.0, VIX=18.6 | Outcome: P&L=$11,095 (0.98%) | Codes: BINDING: VRP | ENTER: scalar=0.705"
2014-11,0,1,0.0,"SKIPPED on 2014-11-24: VRP regime=NORMAL (raw=3.24, z=0.29) Regime=CRISIS (PI_z=1.81) Reason: REGIME_CRISIS (z=1.81)"
2014-12,0,1,0.0,"SKIPPED on 2014-12-22: VRP regime=RICH (raw=3.62, z=0.58) Regime=STABLE (PI_z=-1.16) Reason: BUILD_FAIL | BINDING: EQUAL | ENTER: scalar=0.000"
2015-01,0,1,0.0,"SKIPPED on 2015-01-20: VRP regime=RICH (raw=4.55, z=1.10) Regime=CRISIS (PI_z=2.10) Reason: REGIME_CRISIS (z=2.10)"
2015-02,0,1,0.0,"SKIPPED on 2015-02-23: VRP regime=RICH (raw=3.82, z=0.53) Regime=STABLE (PI_z=-0.22) Reason: BUILD_FAIL | BINDING: EQUAL | ENTER: scalar=0.000"
2015-03,1,0,7039.999999999999,"ENTERED on 2015-03-23: | VRP regime=NORMAL (raw=3.31, z=0.20, scalar=0.67) | Regime=STABLE (PI_width=8.89, z=-0.59, mult=1.00) | Composite scalar=0.574 | Strikes: 2025/1945 (width=80), 16x, credit=$7,040, DTE=23 | SPX=2104.4, VIX=13.4 | Outcome: P&L=$7,040 (0.62%) | Codes: BINDING: VRP | ENTER: scalar=0.574"
2015-04,1,0,11442.500000000002,"ENTERED on 2015-04-20: | VRP regime=NORMAL (raw=3.19, z=0.11, scalar=0.67) | Regime=STRESSED (PI_width=9.25, z=1.22, mult=0.50) | Composite scalar=0.815 | Strikes: 2020/1940 (width=80), 23x, credit=$11,443, DTE=30 | SPX=2100.4, VIX=13.3 | Outcome: P&L=$11,443 (1.00%) | Codes: BINDING: REGIME | ENTER: scalar=0.815"
2015-05,1,0,10877.5,"ENTERED on 2015-05-18: | VRP regime=LEAN (raw=2.76, z=-0.18, scalar=0.33) | Regime=STABLE (PI_width=9.07, z=0.27, mult=1.00) | Composite scalar=0.819 | Strikes: 2035/1940 (width=95), 19x, credit=$10,878, DTE=30 | SPX=2129.2, VIX=12.7 | Outcome: P&L=$10,878 (0.94%) | Codes: BINDING: VRP | ENTER: scalar=0.819"
2015-06,0,1,0.0,"SKIPPED on 2015-06-22: VRP regime=LEAN (raw=2.53, z=-0.44) Regime=CRISIS (PI_z=1.67) Reason: REGIME_CRISIS (z=1.67)"
2015-07,0,1,0.0,"SKIPPED on 2015-07-20: VRP regime=INVERTED (raw=2.05, z=-0.91) Regime=STABLE (PI_z=-1.00) Reason: VRP_INVERTED (z=-0.91)"
2015-08,0,1,0.0,"SKIPPED on 2015-08-24: VRP regime=EXTREMELY_RICH (raw=10.87, z=5.02) Regime=CRISIS (PI_z=1.97) Reason: REGIME_CRISIS (z=1.97)"
2015-09,0,1,0.0,"SKIPPED on 2015-09-21: VRP regime=RICH (raw=4.97, z=0.70) Regime=STABLE (PI_z=-0.97) Reason: BUILD_FAIL | BINDING: EQUAL | ENTER: scalar=0.000"
2015-10,1,0,7620.0,"ENTERED on 2015-10-19: | VRP regime=NORMAL (raw=3.97, z=0.14, scalar=0.67) | Regime=STABLE (PI_width=9.09, z=0.32, mult=1.00) | Composite scalar=0.574 | Strikes: 1935/1830 (width=105), 12x, credit=$7,620, DTE=30 | SPX=2033.7, VIX=15.0 | Outcome: P&L=$7,620 (0.65%) | Codes: BINDING: VRP | ENTER: scalar=0.574"
2015-11,1,0,11257.499999999998,"ENTERED on 2015-11-23: | VRP regime=LEAN (raw=3.75, z=-0.01, scalar=0.33) | Regime=STABLE (PI_width=9.04, z=0.06, mult=1.00) | Composite scalar=0.819 | Strikes: 1995/1895 (width=100), 19x, credit=$11,257, DTE=23 | SPX=2086.6, VIX=15.6 | Outcome: P&L=$11,257 (0.96%) | Codes: BINDING: VRP | ENTER: scalar=0.819"
2015-12,1,0,-36133.500000000095,"ENTERED on 2015-12-21: | VRP regime=NORMAL (raw=4.52, z=0.33, scalar=0.67) | Regime=STABLE (PI_width=9.01, z=-0.05, mult=1.00) | Composite scalar=0.574 | Strikes: 1915/1815 (width=100), 13x, credit=$8,937, DTE=30 | SPX=2021.2, VIX=18.7 | Outcome: P&L=$-36,134 (-3.17%) | Codes: BINDING: VRP | ENTER: scalar=0.574"
2016-01,0,1,0.0,"SKIPPED on 2016-01-19: VRP regime=EXTREMELY_RICH (raw=11.07, z=3.29) Regime=CRISIS (PI_z=1.72) Reason: REGIME_CRISIS (z=1.72)"
2016-02,0,1,0.0,"SKIPPED on 2016-02-22: VRP regime=LEAN (raw=4.02, z=-0.03) Regime=CRISIS (PI_z=1.50) Reason: REGIME_CRISIS (z=1.50)"
2016-03,1,0,11505.0,"ENTERED on 2016-03-21: | VRP regime=LEAN (raw=3.42, z=-0.35, scalar=0.33) | Regime=STRESSED (PI_width=9.23, z=1.16, mult=0.50) | Composite scalar=0.914 | Strikes: 1970/1890 (width=80), 26x, credit=$11,505, DTE=30 | SPX=2051.6, VIX=13.8 | Outcome: P&L=$11,505 (1.00%) | Codes: BINDING: VRP | ENTER: scalar=0.914"
2016-04,0,1,0.0,"SKIPPED on 2016-04-18: VRP regime=INVERTED (raw=2.62, z=-0.68) Regime=STABLE (PI_z=-0.15) Reason: VRP_INVERTED (z=-0.68)"
2016-05,1,0,11990.0,"ENTERED on 2016-05-23: | VRP regime=LEAN (raw=4.17, z=-0.05, scalar=0.33) | Regime=STABLE (PI_width=9.00, z=-0.03, mult=1.00) | Composite scalar=0.819 | Strikes: 1960/1875 (width=85), 22x, credit=$11,990, DTE=23 | SPX=2048.0, VIX=15.8 | Outcome: P&L=$11,990 (1.03%) | Codes: BINDING: VRP | ENTER: scalar=0.819"
2016-06,1,0,11040.0,"ENTERED on 2016-06-20: | VRP regime=LEAN (raw=3.98, z=-0.15, scalar=0.33) | Regime=STABLE (PI_width=8.81, z=-1.03, mult=1.00) | Composite scalar=0.819 | Strikes: 1975/1860 (width=115), 16x, credit=$11,040, DTE=30 | SPX=2083.2, VIX=18.4 | Outcome: P&L=$11,040 (0.94%) | Codes: BINDING: VRP | ENTER: scalar=0.819"
2016-07,0,1,0.0,"SKIPPED on 2016-07-18: VRP regime=INVERTED (raw=2.24, z=-0.89) Regime=CRISIS (PI_z=1.75) Reason: VRP_INVERTED (z=-0.89) | REGIME_CRISIS (z=1.75)"
2016-08,0,1,0.0,"SKIPPED on 2016-08-22: VRP regime=INVERTED (raw=2.36, z=-0.81) Regime=STABLE (PI_z=-1.25) Reason: VRP_INVERTED (z=-0.81)"
2016-09,1,0,11120.000000000002,"ENTERED on 2016-09-19: | VRP regime=NORMAL (raw=4.21, z=0.09, scalar=0.67) | Regime=STRESSED (PI_width=9.23, z=1.17, mult=0.50) | Composite scalar=0.815 | Strikes: 2030/1915 (width=115), 16x, credit=$11,120, DTE=30 | SPX=2139.1, VIX=15.5 | Outcome: P&L=$11,120 (0.94%) | Codes: BINDING: REGIME | ENTER: scalar=0.815"
2016-10,1,0,11769.999999999998,"ENTERED on 2016-10-24: | VRP regime=LEAN (raw=3.35, z=-0.27, scalar=0.33) | Regime=STABLE (PI_width=9.09, z=0.48, mult=1.00) | Composite scalar=0.819 | Strikes: 2065/1980 (width=85), 22x, credit=$11,770, DTE=23 | SPX=2151.3, VIX=13.0 | Outcome: P&L=$11,770 (0.98%) | Codes: BINDING: VRP | ENTER: scalar=0.819"
2016-11,1,0,11475.0,"ENTERED on 2016-11-21: | VRP regime=LEAN (raw=3.23, z=-0.33, scalar=0.33) | Regime=ELEVATED (PI_width=9.12, z=0.62, mult=0.75) | Composite scalar=0.867 | Strikes: 2120/2045 (width=75), 27x, credit=$11,475, DTE=30 | SPX=2198.2, VIX=12.4 | Outcome: P&L=$11,475 (0.95%) | Codes: BINDING: VRP | ENTER: scalar=0.867"
2016-12,0,1,0.0,"SKIPPED on 2016-12-19: VRP regime=INVERTED (raw=2.30, z=-0.76) Regime=STRESSED (PI_z=1.21) Reason: VRP_INVERTED (z=-0.76)"
2017-01,0,1,0.0,"SKIPPED on 2017-01-23: VRP regime=INVERTED (raw=0.65, z=-1.64) Regime=STABLE (PI_z=-1.69) Reason: VRP_INVERTED (z=-1.64)"
2017-02,0,1,0.0,"SKIPPED on 2017-02-21: VRP regime=INVERTED (raw=1.90, z=-0.78) Regime=ELEVATED (PI_z=0.77) Reason: VRP_INVERTED (z=-0.78)"
2017-03,0,1,0.0,"SKIPPED on 2017-03-20: VRP regime=INVERTED (raw=1.30, z=-1.07) Regime=STABLE (PI_z=-0.04) Reason: VRP_INVERTED (z=-1.07)"
2017-04,0,1,0.0,"SKIPPED on 2017-04-24: VRP regime=INVERTED (raw=0.45, z=-1.63) Regime=ELEVATED (PI_z=0.97) Reason: VRP_INVERTED (z=-1.63)"
2017-05,0,1,0.0,"SKIPPED on 2017-05-22: VRP regime=INVERTED (raw=1.42, z=-0.76) Regime=STRESSED (PI_z=1.10) Reason: VRP_INVERTED (z=-0.76)"
2017-06,0,1,0.0,"SKIPPED on 2017-06-19: VRP regime=INVERTED (raw=0.70, z=-1.04) Regime=STRESSED (PI_z=1.13) Reason: VRP_INVERTED (z=-1.04)"
2017-07,0,1,0.0,"SKIPPED on 2017-07-24: VRP regime=INVERTED (raw=-0.80, z=-1.84) Regime=STRESSED (PI_z=1.23) Reason: VRP_NEGATIVE | VRP_INVERTED (z=-1.84)"
2017-08,1,0,7345.0,"ENTERED on 2017-08-21: | VRP regime=NORMAL (raw=2.59, z=0.41, scalar=0.67) | Regime=STABLE (PI_width=8.88, z=-0.75, mult=1.00) | Composite scalar=0.574 | Strikes: 2340/2240 (width=100), 13x, credit=$7,345, DTE=30 | SPX=2428.4, VIX=13.2 | Outcome: P&L=$7,345 (0.60%) | Codes: BINDING: VRP | ENTER: scalar=0.574"
2017-09,0,1,0.0,"SKIPPED on 2017-09-18: VRP regime=INVERTED (raw=0.48, z=-0.85) Regime=STABLE (PI_z=-0.08) Reason: VRP_INVERTED (z=-0.85)"
2017-10,1,0,7000.0,"ENTERED on 2017-10-23: | VRP regime=LEAN (raw=1.43, z=-0.03, scalar=0.33) | Regime=STABLE (PI_width=8.56, z=-2.20, mult=1.00) | Composite scalar=0.819 | Strikes: 2485/2365 (width=120), 16x, credit=$7,000, DTE=23 | SPX=2565.0, VIX=11.1 | Outcome: P&L=$7,000 (0.57%) | Codes: BINDING: VRP | ENTER: scalar=0.819"
2017-11,1,0,9345.0,"ENTERED on 2017-11-20: | VRP regime=LEAN (raw=1.03, z=-0.14, scalar=0.33) | Regime=ELEVATED (PI_width=9.20, z=0.86, mult=0.75) | Composite scalar=0.867 | Strikes: 2505/2405 (width=100), 21x, credit=$9,345, DTE=30 | SPX=2582.1, VIX=10.6 | Outcome: P&L=$9,345 (0.76%) | Codes: BINDING: VRP | ENTER: scalar=0.867"
2017-12,0,1,0.0,"SKIPPED on 2017-12-18: VRP regime=INVERTED (raw=0.23, z=-0.68) Regime=STABLE (PI_z=-0.01) Reason: VRP_INVERTED (z=-0.68)"
2018-01,1,0,-21598.500000000342,"ENTERED on 2018-01-22: | VRP regime=LEAN (raw=0.62, z=-0.24, scalar=0.33) | Regime=STABLE (PI_width=8.56, z=-2.01, mult=1.00) | Composite scalar=0.819 | Strikes: 2750/2635 (width=115), 17x, credit=$8,628, DTE=30 | SPX=2833.0, VIX=11.0 | Outcome: P&L=$-21,599 (-1.78%) | Codes: BINDING: VRP | ENTER: scalar=0.819"
2018-02,1,0,8469.999999999998,"ENTERED on 2018-02-20: | VRP regime=EXTREMELY_RICH (raw=4.91, z=2.14, scalar=1.00) | Regime=STRESSED (PI_width=9.32, z=1.41, mult=0.50) | Composite scalar=0.707 | Strikes: 2570/2420 (width=150), 11x, credit=$8,470, DTE=28 | SPX=2716.3, VIX=20.6 | Outcome: P&L=$8,470 (0.69%) | Codes: BINDING: REGIME | ENTER: scalar=0.707"
2018-03,0,1,0.0,"SKIPPED on 2018-03-19: VRP regime=RICH (raw=3.02, z=0.92) Regime=CRISIS (PI_z=1.71) Reason: REGIME_CRISIS (z=1.71)"
2018-04,1,0,9685.0,"ENTERED on 2018-04-23: | VRP regime=EXTREMELY_RICH (raw=4.70, z=1.55, scalar=1.00) | Regime=STRESSED (PI_width=9.28, z=1.25, mult=0.50) | Composite scalar=0.707 | Strikes: 2550/2420 (width=130), 13x, credit=$9,685, DTE=23 | SPX=2670.3, VIX=16.3 | Outcome: P&L=$9,685 (0.79%) | Codes: BINDING: REGIME | ENTER: scalar=0.707"
2018-05,0,1,0.0,"SKIPPED on 2018-05-21: VRP regime=RICH (raw=3.42, z=0.86) Regime=STABLE (PI_z=-0.53) Reason: BUILD_FAIL | BINDING: EQUAL | ENTER: scalar=0.000"
2018-06,1,0,8050.0,"ENTERED on 2018-06-18: | VRP regime=LEAN (raw=1.35, z=-0.17, scalar=0.33) | Regime=STABLE (PI_width=8.99, z=-0.06, mult=1.00) | Composite scalar=0.819 | Strikes: 2670/2530 (width=140), 14x, credit=$8,050, DTE=30 | SPX=2773.8, VIX=12.3 | Outcome: P&L=$8,050 (0.65%) | Codes: BINDING: VRP | ENTER: scalar=0.819"
2018-07,1,0,6825.0,"ENTERED on 2018-07-23: | VRP regime=NORMAL (raw=2.81, z=0.39, scalar=0.67) | Regime=ELEVATED (PI_width=9.19, z=0.84, mult=0.75) | Composite scalar=0.705 | Strikes: 2715/2585 (width=130), 13x, credit=$6,825, DTE=23 | SPX=2807.0, VIX=12.6 | Outcome: P&L=$6,825 (0.55%) | Codes: BINDING: VRP | ENTER: scalar=0.705"
2018-08,1,0,7735.000000000001,"ENTERED on 2018-08-20: | VRP regime=NORMAL (raw=2.98, z=0.43, scalar=0.67) | Regime=STRESSED (PI_width=9.23, z=1.00, mult=0.50) | Composite scalar=0.815 | Strikes: 2750/2600 (width=150), 13x, credit=$7,735, DTE=30 | SPX=2857.1, VIX=12.5 | Outcome: P&L=$7,735 (0.62%) | Codes: BINDING: REGIME | ENTER: scalar=0.815"
2018-09,1,0,-77654.9999999997,"ENTERED on 2018-09-24: | VRP regime=LEAN (raw=1.20, z=-0.49, scalar=0.33) | Regime=STABLE (PI_width=8.97, z=-0.16, mult=1.00) | Composite scalar=0.819 | Strikes: 2825/2695 (width=130), 15x, credit=$8,175, DTE=23 | SPX=2919.4, VIX=12.2 | Outcome: P&L=$-77,655 (-6.62%) | Codes: BINDING: VRP | ENTER: scalar=0.819"
2018-10,0,1,0.0,"SKIPPED on 2018-10-22: VRP regime=RICH (raw=5.02, z=1.26) Regime=STABLE (PI_z=-1.12) Reason: BUILD_FAIL | BINDING: EQUAL | ENTER: scalar=0.000"
2018-11,0,1,0.0,"SKIPPED on 2018-11-19: VRP regime=RICH (raw=5.90, z=1.48) Regime=STABLE (PI_z=-0.00) Reason: BUILD_FAIL | BINDING: EQUAL | ENTER: scalar=0.000"
2018-12,1,0,13585.000000000002,"ENTERED on 2018-12-24: | VRP regime=EXTREMELY_RICH (raw=13.40, z=4.45, scalar=1.00) | Regime=STRESSED (PI_width=9.29, z=1.36, mult=0.50) | Composite scalar=0.707 | Strikes: 2130/1980 (width=150), 11x, credit=$13,585, DTE=23 | SPX=2351.1, VIX=36.1 | Outcome: P&L=$13,585 (1.14%) | Codes: BINDING: REGIME | ENTER: scalar=0.707"
2019-01,0,1,0.0,"SKIPPED on 2019-01-22: VRP regime=RICH (raw=4.86, z=0.57) Regime=STABLE (PI_z=0.29) Reason: BUILD_FAIL | BINDING: EQUAL | ENTER: scalar=0.000"
